level,guild,race,class,region
53,Guild Guild 3,Orc,Warrior,Dustwallow Marsh
51,Guild Guild 7,Orc,Hunter,Orgrimmar
52,Guild Guild 2,Orc,Rogue,Orgrimmar
53,Guild Guild 3,Orc,Hunter,Un'Goro Crater
53,Guild Guild 5,Orc,Shaman,Maraudon
53,Guild Guild -1,Orc,Hunter,Felwood
55,Guild Guild 5,Orc,Warrior,The Temple of Atal'Hakkar
57,Guild Guild 3,Orc,Rogue,Blackrock Depths
60,Guild Guild 2,Orc,Hunter,Winterspring
60,Guild Guild 17,Orc,Warrior,Orgrimmar
60,Guild Guild 18,Orc,Warrior,Orgrimmar
60,Guild Guild 15,Orc,Warrior,Orgrimmar
60,Guild Guild 8,Orc,Hunter,Orgrimmar
60,Guild Guild 18,Orc,Hunter,Orgrimmar
60,Guild Guild 3,Orc,Hunter,Eastern Plaguelands
60,Guild Guild 3,Orc,Warlock,Azshara
60,Guild Guild 2,Orc,Hunter,The Hinterlands
60,Guild Guild 5,Orc,Warrior,Scholomance
60,Guild Guild 3,Orc,Warrior,Arathi Basin
60,Guild Guild 17,Orc,Warrior,Arathi Basin
60,Guild Guild 2,Orc,Hunter,Arathi Basin
60,Guild Guild 4,Orc,Warrior,Blackrock Spire
60,Guild Guild 5,Orc,Warrior,Blackrock Mountain
60,Guild Guild 7,Orc,Hunter,Blackrock Mountain
60,Guild Guild 19,Orc,Hunter,Blackrock Depths
10,Guild Guild 7,Tauren,Druid,Moonglade
4,Guild Guild -1,Tauren,Druid,Mulgore
6,Guild Guild -1,Tauren,Warrior,Mulgore
19,Guild Guild 9,Tauren,Warrior,Wailing Caverns
13,Guild Guild 20,Tauren,Shaman,Orgrimmar
11,Guild Guild -1,Tauren,Warrior,Mulgore
15,Guild Guild 2,Tauren,Druid,The Barrens
17,Guild Guild -1,Tauren,Druid,The Barrens
18,Guild Guild -1,Tauren,Warrior,The Barrens
19,Guild Guild 12,Tauren,Shaman,The Barrens
19,Guild Guild -1,Tauren,Hunter,Silverpine Forest
11,Guild Guild 17,Tauren,Hunter,Thunder Bluff
11,Guild Guild -1,Tauren,Shaman,Thunder Bluff
12,Guild Guild -1,Tauren,Warrior,Thunder Bluff
29,Guild Guild 2,Tauren,Druid,Thousand Needles
27,Guild Guild 3,Tauren,Warrior,Orgrimmar
27,Guild Guild 21,Tauren,Warrior,Hillsbrad Foothills
25,Guild Guild 21,Tauren,Warrior,Undercity
22,Guild Guild -1,Tauren,Warrior,Ashenvale
26,Guild Guild 6,Tauren,Shaman,Ashenvale
24,Guild Guild -1,Tauren,Shaman,Stonetalon Mountains
21,Guild Guild 18,Tauren,Shaman,The Barrens
22,Guild Guild -1,Tauren,Druid,The Barrens
25,Guild Guild 7,Tauren,Druid,The Barrens
30,Guild Guild 0,Tauren,Druid,Blackfathom Deeps
33,Guild Guild 3,Tauren,Druid,Thousand Needles
31,Guild Guild 22,Tauren,Druid,Orgrimmar
34,Guild Guild 3,Tauren,Warrior,Orgrimmar
37,Guild Guild -1,Tauren,Warrior,Orgrimmar
31,Guild Guild 23,Tauren,Hunter,Desolace
31,Guild Guild 23,Tauren,Shaman,Desolace
31,Guild Guild 18,Tauren,Shaman,Desolace
38,Guild Guild 3,Tauren,Druid,Desolace
32,Guild Guild 13,Tauren,Warrior,Stonetalon Mountains
31,Guild Guild 2,Tauren,Shaman,Stranglethorn Vale
34,Guild Guild 20,Tauren,Shaman,Stranglethorn Vale
35,Guild Guild 24,Tauren,Druid,Stranglethorn Vale
39,Guild Guild 25,Tauren,Druid,Stranglethorn Vale
34,Guild Guild 2,Tauren,Hunter,Mulgore
40,Guild Guild -1,Tauren,Warrior,Darkshore
44,Guild Guild 11,Tauren,Warrior,Orgrimmar
45,Guild Guild 12,Tauren,Shaman,Orgrimmar
48,Guild Guild 15,Tauren,Warrior,Orgrimmar
50,Guild Guild 15,Tauren,Druid,Orgrimmar
48,Guild Guild 5,Tauren,Warrior,Alterac Mountains
42,Guild Guild -1,Tauren,Warrior,Undercity
49,Guild Guild 12,Tauren,Druid,Undercity
46,Guild Guild 19,Tauren,Druid,Swamp of Sorrows
46,Guild Guild 18,Tauren,Druid,Tirisfal Glades
47,Guild Guild 5,Tauren,Shaman,Tirisfal Glades
50,Guild Guild 0,Tauren,Hunter,Searing Gorge
47,Guild Guild 15,Tauren,Shaman,Burning Steppes
47,Guild Guild 5,Tauren,Druid,Maraudon
49,Guild Guild 3,Tauren,Warrior,Zul'Farrak
42,Guild Guild 26,Tauren,Shaman,Stranglethorn Vale
41,Guild Guild 2,Tauren,Shaman,Feralas
42,Guild Guild 6,Tauren,Hunter,Feralas
46,Guild Guild -1,Tauren,Warrior,Feralas
44,Guild Guild 27,Tauren,Warrior,The Barrens
46,Guild Guild -1,Tauren,Hunter,The Barrens
49,Guild Guild 12,Tauren,Hunter,The Temple of Atal'Hakkar
45,Guild Guild 7,Tauren,Shaman,Arathi Highlands
46,Guild Guild 2,Tauren,Warrior,Thunder Bluff
53,Guild Guild 7,Tauren,Warrior,Winterspring
51,Guild Guild -1,Tauren,Druid,Tanaris
52,Guild Guild 5,Tauren,Shaman,Orgrimmar
53,Guild Guild 8,Tauren,Warrior,Orgrimmar
55,Guild Guild 1,Tauren,Hunter,Orgrimmar
55,Guild Guild 5,Tauren,Shaman,Orgrimmar
52,Guild Guild 19,Tauren,Warrior,Ashenvale
53,Guild Guild 6,Tauren,Druid,Ashenvale
53,Guild Guild 2,Tauren,Druid,Desolace
51,Guild Guild 5,Tauren,Warrior,Maraudon
54,Guild Guild 5,Tauren,Shaman,The Temple of Atal'Hakkar
57,Guild Guild 3,Tauren,Warrior,Searing Gorge
56,Guild Guild 25,Tauren,Shaman,Stranglethorn Vale
56,Guild Guild 2,Tauren,Druid,The Hinterlands
57,Guild Guild 28,Tauren,Hunter,Blackrock Spire
58,Guild Guild 5,Tauren,Druid,Winterspring
58,Guild Guild 29,Tauren,Warrior,Orgrimmar
59,Guild Guild 8,Tauren,Warrior,Maraudon
59,Guild Guild 8,Tauren,Shaman,Blasted Lands
58,Guild Guild 16,Tauren,Shaman,The Barrens
59,Guild Guild 4,Tauren,Shaman,Blackrock Spire
60,Guild Guild 2,Tauren,Warrior,Orgrimmar
60,Guild Guild 4,Tauren,Warrior,Orgrimmar
60,Guild Guild 17,Tauren,Warrior,Orgrimmar
60,Guild Guild 0,Tauren,Warrior,Orgrimmar
60,Guild Guild 15,Tauren,Warrior,Eastern Plaguelands
60,Guild Guild 28,Tauren,Warrior,Western Plaguelands
60,Guild Guild 7,Tauren,Warrior,Scholomance
60,Guild Guild 19,Tauren,Warrior,Arathi Basin
60,Guild Guild 1,Tauren,Warrior,Arathi Basin
60,Guild Guild 10,Tauren,Warrior,Arathi Basin
60,Guild Guild 2,Tauren,Warrior,Arathi Basin
60,Guild Guild 15,Tauren,Warrior,Arathi Basin
60,Guild Guild 5,Tauren,Hunter,Orgrimmar
60,Guild Guild 4,Tauren,Hunter,Blackrock Mountain
60,Guild Guild 5,Tauren,Shaman,Stratholme
60,Guild Guild 3,Tauren,Shaman,Eastern Plaguelands
60,Guild Guild 18,Tauren,Shaman,Eastern Plaguelands
60,Guild Guild 8,Tauren,Shaman,Scarlet Monastery
60,Guild Guild 1,Tauren,Shaman,Arathi Basin
60,Guild Guild 19,Tauren,Shaman,Arathi Basin
60,Guild Guild 4,Tauren,Shaman,Blackrock Mountain
60,Guild Guild 20,Tauren,Shaman,Blackrock Mountain
60,Guild Guild 3,Tauren,Shaman,Blackrock Depths
60,Guild Guild 6,Tauren,Druid,Orgrimmar
60,Guild Guild 19,Tauren,Druid,Orgrimmar
60,Guild Guild 3,Tauren,Druid,Eastern Plaguelands
60,Guild Guild 8,Tauren,Druid,Blasted Lands
60,Guild Guild 4,Tauren,Druid,Scholomance
60,Guild Guild 17,Tauren,Druid,Thunder Bluff
60,Guild Guild 1,Tauren,Druid,Darkshore
60,Guild Guild 5,Tauren,Druid,Blackrock Mountain
1,Guild Guild -1,Troll,Hunter,Durotar
5,Guild Guild -1,Troll,Rogue,Durotar
8,Guild Guild -1,Troll,Mage,Durotar
11,Guild Guild 3,Troll,Shaman,Orgrimmar
20,Guild Guild -1,Troll,Rogue,Orgrimmar
11,Guild Guild 10,Troll,Rogue,Durotar
11,Guild Guild -1,Troll,Shaman,Durotar
11,Guild Guild -1,Troll,Rogue,The Barrens
16,Guild Guild 30,Troll,Shaman,The Barrens
19,Guild Guild 7,Troll,Rogue,The Barrens
25,Guild Guild 2,Troll,Hunter,Orgrimmar
25,Guild Guild 8,Troll,Shaman,Orgrimmar
28,Guild Guild -1,Troll,Warrior,Orgrimmar
24,Guild Guild 31,Troll,Rogue,Undercity
28,Guild Guild 6,Troll,Hunter,Undercity
30,Guild Guild 7,Troll,Priest,Ashenvale
24,Guild Guild 0,Troll,Hunter,Stonetalon Mountains
28,Guild Guild 13,Troll,Hunter,Stonetalon Mountains
29,Guild Guild -1,Troll,Hunter,Stonetalon Mountains
22,Guild Guild -1,Troll,Hunter,The Barrens
32,Guild Guild 8,Troll,Shaman,Thousand Needles
38,Guild Guild 6,Troll,Mage,Thousand Needles
40,Guild Guild 8,Troll,Hunter,Orgrimmar
34,Guild Guild 8,Troll,Priest,Alterac Mountains
35,Guild Guild 8,Troll,Mage,Alterac Mountains
36,Guild Guild 2,Troll,Shaman,Shadowfang Keep
37,Guild Guild 21,Troll,Shaman,Desolace
36,Guild Guild 7,Troll,Hunter,Stranglethorn Vale
39,Guild Guild -1,Troll,Rogue,Stranglethorn Vale
40,Guild Guild 10,Troll,Hunter,Mulgore
37,Guild Guild 25,Troll,Mage,The Barrens
32,Guild Guild 11,Troll,Mage,Thunder Bluff
42,Guild Guild 10,Troll,Hunter,Tanaris
43,Guild Guild 2,Troll,Hunter,Undercity
44,Guild Guild 15,Troll,Shaman,Stonetalon Mountains
43,Guild Guild 5,Troll,Shaman,Badlands
44,Guild Guild 5,Troll,Priest,Thunder Bluff
46,Guild Guild 7,Troll,Rogue,Orgrimmar
49,Guild Guild 32,Troll,Shaman,Orgrimmar
50,Guild Guild 5,Troll,Mage,Maraudon
46,Guild Guild -1,Troll,Priest,Feralas
47,Guild Guild 6,Troll,Rogue,Feralas
50,Guild Guild -1,Troll,Rogue,Felwood
55,Guild Guild -1,Troll,Hunter,Winterspring
54,Guild Guild 26,Troll,Hunter,Orgrimmar
51,Guild Guild 2,Troll,Rogue,Un'Goro Crater
53,Guild Guild 5,Troll,Priest,Eastern Plaguelands
55,Guild Guild 5,Troll,Rogue,Searing Gorge
52,Guild Guild 3,Troll,Warrior,Zul'Farrak
53,Guild Guild 3,Troll,Priest,Zul'Farrak
51,Guild Guild 5,Troll,Shaman,The Temple of Atal'Hakkar
57,Guild Guild -1,Troll,Hunter,Orgrimmar
57,Guild Guild 28,Troll,Priest,Eastern Plaguelands
56,Guild Guild -1,Troll,Hunter,Azshara
57,Guild Guild 3,Troll,Warrior,Blackrock Depths
57,Guild Guild 3,Troll,Priest,Blackrock Depths
58,Guild Guild 13,Troll,Rogue,Orgrimmar
58,Guild Guild 3,Troll,Mage,Blackrock Depths
60,Guild Guild 17,Troll,Mage,Winterspring
60,Guild Guild 33,Troll,Hunter,Orgrimmar
60,Guild Guild 28,Troll,Mage,Eastern Plaguelands
60,Guild Guild 28,Troll,Hunter,Scholomance
60,Guild Guild 7,Troll,Hunter,Scholomance
60,Guild Guild 2,Troll,Hunter,Arathi Basin
60,Guild Guild 17,Troll,Priest,Thunder Bluff
60,Guild Guild 4,Troll,Mage,Blackrock Mountain
60,Guild Guild 6,Troll,Hunter,未知
60,Guild Guild 15,Troll,Shaman,Orgrimmar
60,Guild Guild 29,Troll,Shaman,Orgrimmar
60,Guild Guild 5,Troll,Rogue,Stratholme
60,Guild Guild 17,Troll,Rogue,Durotar
60,Guild Guild 3,Troll,Rogue,Eastern Plaguelands
60,Guild Guild 1,Troll,Rogue,Felwood
60,Guild Guild 5,Troll,Rogue,Arathi Basin
60,Guild Guild 28,Troll,Shaman,Arathi Basin
60,Guild Guild 19,Troll,Rogue,Thunder Bluff
60,Guild Guild 8,Troll,Rogue,Blackrock Mountain
9,Guild Guild 5,Undead,Mage,Tirisfal Glades
10,Guild Guild -1,Undead,Priest,Tirisfal Glades
13,Guild Guild -1,Undead,Warlock,Orgrimmar
20,Guild Guild 3,Undead,Warrior,Orgrimmar
12,Guild Guild 12,Undead,Mage,Tirisfal Glades
18,Guild Guild 16,Undead,Rogue,Mulgore
15,Guild Guild -1,Undead,Priest,The Barrens
18,Guild Guild 30,Undead,Warlock,The Barrens
11,Guild Guild -1,Undead,Warrior,Silverpine Forest
14,Guild Guild 21,Undead,Rogue,Silverpine Forest
14,Guild Guild -1,Undead,Warlock,Silverpine Forest
15,Guild Guild -1,Undead,Warlock,Silverpine Forest
19,Guild Guild 6,Undead,Mage,Silverpine Forest
19,Guild Guild 8,Undead,Rogue,Silverpine Forest
19,Guild Guild 19,Undead,Mage,Thunder Bluff
21,Guild Guild -1,Undead,Priest,Ashenvale
25,Guild Guild 20,Undead,Mage,Ashenvale
24,Guild Guild 15,Undead,Mage,Stonetalon Mountains
21,Guild Guild -1,Undead,Rogue,The Barrens
22,Guild Guild 1,Undead,Mage,The Barrens
27,Guild Guild 11,Undead,Priest,Thousand Needles
26,Guild Guild -1,Undead,Priest,Orgrimmar
29,Guild Guild 19,Undead,Mage,Orgrimmar
28,Guild Guild -1,Undead,Priest,Hillsbrad Foothills
29,Guild Guild -1,Undead,Rogue,Hillsbrad Foothills
27,Guild Guild -1,Undead,Rogue,Ashenvale
28,Guild Guild -1,Undead,Priest,Ashenvale
33,Guild Guild 13,Undead,Mage,Thousand Needles
34,Guild Guild 20,Undead,Priest,Orgrimmar
36,Guild Guild 7,Undead,Warlock,Orgrimmar
40,Guild Guild 2,Undead,Warlock,Orgrimmar
34,Guild Guild -1,Undead,Priest,Alterac Mountains
36,Guild Guild 3,Undead,Mage,Alterac Mountains
38,Guild Guild 29,Undead,Mage,Alterac Mountains
32,Guild Guild -1,Undead,Rogue,Hillsbrad Foothills
38,Guild Guild 6,Undead,Priest,Undercity
35,Guild Guild 0,Undead,Rogue,Tirisfal Glades
33,Guild Guild 21,Undead,Mage,Ashenvale
36,Guild Guild -1,Undead,Warlock,Ashenvale
38,Guild Guild 34,Undead,Warlock,Wetlands
33,Guild Guild 6,Undead,Priest,Stonetalon Mountains
32,Guild Guild 17,Undead,Mage,Stranglethorn Vale
33,Guild Guild 24,Undead,Priest,Stranglethorn Vale
37,Guild Guild 19,Undead,Mage,Stranglethorn Vale
40,Guild Guild 1,Undead,Priest,Badlands
34,Guild Guild 35,Undead,Priest,Thunder Bluff
35,Guild Guild 19,Undead,Mage,Thunder Bluff
33,Guild Guild -1,Undead,Warlock,Blackfathom Deeps
34,Guild Guild -1,Undead,Warrior,Blackfathom Deeps
44,Guild Guild 2,Undead,Mage,Tanaris
45,Guild Guild 24,Undead,Rogue,Tanaris
48,Guild Guild -1,Undead,Rogue,Tanaris
46,Guild Guild 7,Undead,Priest,Dustwallow Marsh
41,Guild Guild 22,Undead,Priest,Orgrimmar
42,Guild Guild 11,Undead,Mage,Orgrimmar
43,Guild Guild 22,Undead,Mage,Orgrimmar
45,Guild Guild 2,Undead,Mage,Orgrimmar
48,Guild Guild 4,Undead,Warlock,Orgrimmar
44,Guild Guild 21,Undead,Warlock,Alterac Mountains
45,Guild Guild 5,Undead,Mage,Alterac Mountains
50,Guild Guild 17,Undead,Rogue,Undercity
43,Guild Guild 3,Undead,Rogue,Swamp of Sorrows
44,Guild Guild 3,Undead,Mage,Swamp of Sorrows
48,Guild Guild -1,Undead,Priest,Searing Gorge
48,Guild Guild -1,Undead,Rogue,Searing Gorge
44,Guild Guild 8,Undead,Warrior,Maraudon
45,Guild Guild 8,Undead,Mage,Maraudon
45,Guild Guild 3,Undead,Priest,Zul'Farrak
43,Guild Guild 13,Undead,Priest,Stranglethorn Vale
43,Guild Guild 6,Undead,Warlock,Stranglethorn Vale
49,Guild Guild 11,Undead,Warlock,Stranglethorn Vale
50,Guild Guild 5,Undead,Priest,Western Plaguelands
44,Guild Guild 21,Undead,Warrior,The Hinterlands
45,Guild Guild 5,Undead,Rogue,The Hinterlands
50,Guild Guild 2,Undead,Priest,The Hinterlands
44,Guild Guild 5,Undead,Warrior,Thunder Bluff
45,Guild Guild 15,Undead,Rogue,Thunder Bluff
53,Guild Guild 0,Undead,Rogue,Orgrimmar
54,Guild Guild 29,Undead,Priest,Orgrimmar
54,Guild Guild 15,Undead,Priest,Orgrimmar
55,Guild Guild 19,Undead,Priest,Orgrimmar
53,Guild Guild 19,Undead,Rogue,Un'Goro Crater
54,Guild Guild 4,Undead,Rogue,Un'Goro Crater
55,Guild Guild 17,Undead,Rogue,Un'Goro Crater
53,Guild Guild 5,Undead,Priest,Maraudon
53,Guild Guild 3,Undead,Mage,Zul'Farrak
52,Guild Guild 8,Undead,Mage,Stranglethorn Vale
53,Guild Guild 20,Undead,Warlock,Felwood
54,Guild Guild 19,Undead,Rogue,Felwood
55,Guild Guild 36,Undead,Warlock,Scholomance
52,Guild Guild 5,Undead,Mage,The Temple of Atal'Hakkar
54,Guild Guild 5,Undead,Priest,Thunder Bluff
54,Guild Guild 0,Undead,Rogue,Thunder Bluff
55,Guild Guild 19,Undead,Mage,Blackrock Depths
56,Guild Guild 7,Undead,Mage,Winterspring
56,Guild Guild 2,Undead,Mage,Azshara
57,Guild Guild 5,Undead,Warlock,Stranglethorn Vale
56,Guild Guild 5,Undead,Priest,Blasted Lands
56,Guild Guild 5,Undead,Mage,The Hinterlands
56,Guild Guild 19,Undead,Warrior,Blackrock Depths
56,Guild Guild 19,Undead,Priest,Blackrock Depths
59,Guild Guild 36,Undead,Priest,Winterspring
59,Guild Guild 14,Undead,Priest,Orgrimmar
58,Guild Guild 7,Undead,Rogue,Undercity
58,Guild Guild 8,Undead,Mage,Eastern Plaguelands
58,Guild Guild -1,Undead,Priest,Eastern Plaguelands
59,Guild Guild 3,Undead,Priest,Felwood
58,Guild Guild 5,Undead,Priest,The Temple of Atal'Hakkar
58,Guild Guild -1,Undead,Warlock,Thunder Bluff
59,Guild Guild 4,Undead,Warlock,Blackrock Mountain
60,Guild Guild 6,Undead,Mage,Orgrimmar
60,Guild Guild 2,Undead,Mage,Orgrimmar
60,Guild Guild 5,Undead,Mage,Stratholme
60,Guild Guild 20,Undead,Mage,Desolace
60,Guild Guild 2,Undead,Mage,Felwood
60,Guild Guild 28,Undead,Mage,Scholomance
60,Guild Guild 36,Undead,Mage,Scholomance
60,Guild Guild 2,Undead,Mage,Arathi Basin
60,Guild Guild 19,Undead,Mage,Thunder Bluff
60,Guild Guild 15,Undead,Mage,Blackrock Spire
60,Guild Guild 5,Undead,Priest,Stratholme
60,Guild Guild 3,Undead,Priest,Eastern Plaguelands
60,Guild Guild 7,Undead,Priest,Scholomance
60,Guild Guild 28,Undead,Priest,Scholomance
60,Guild Guild 15,Undead,Priest,Blackrock Spire
60,Guild Guild 5,Undead,Priest,Blackrock Mountain
60,Guild Guild 15,Undead,Rogue,Orgrimmar
60,Guild Guild 7,Undead,Rogue,Orgrimmar
60,Guild Guild 20,Undead,Rogue,Desolace
60,Guild Guild 8,Undead,Rogue,Azshara
60,Guild Guild 4,Undead,Rogue,Blackrock Mountain
60,Guild Guild 12,Undead,Warlock,Orgrimmar
60,Guild Guild 6,Undead,Warlock,Orgrimmar
60,Guild Guild 7,Undead,Warlock,Orgrimmar
60,Guild Guild 3,Undead,Warlock,Eastern Plaguelands
60,Guild Guild 31,Undead,Warlock,Eastern Plaguelands
60,Guild Guild 20,Undead,Warlock,Desolace
60,Guild Guild 8,Undead,Warlock,Maraudon
60,Guild Guild 19,Undead,Warlock,Azshara
60,Guild Guild 8,Undead,Warlock,Stranglethorn Vale
60,Guild Guild 3,Undead,Warlock,Western Plaguelands
60,Guild Guild 5,Undead,Warrior,Stratholme
60,Guild Guild 4,Undead,Warrior,Arathi Basin
60,Guild Guild 5,Undead,Warrior,Blackrock Spire
60,Guild Guild 4,Undead,Warrior,Blackrock Mountain
1,Guild Guild -1,Orc,Hunter,Durotar
18,Guild Guild -1,Orc,Warlock,Orgrimmar
31,Guild Guild -1,Orc,Hunter,Hillsbrad Foothills
40,Guild Guild 5,Orc,Hunter,Scarlet Monastery
41,Guild Guild -1,Orc,Hunter,Orgrimmar
45,Guild Guild 11,Orc,Hunter,Orgrimmar
46,Guild Guild 31,Orc,Warrior,Orgrimmar
47,Guild Guild 5,Orc,Warrior,Feralas
53,Guild Guild 3,Orc,Warrior,Durotar
52,Guild Guild 2,Orc,Rogue,Feralas
57,Guild Guild 28,Orc,Hunter,Swamp of Sorrows
60,Guild Guild 2,Orc,Hunter,Orgrimmar
60,Guild Guild 15,Orc,Warrior,Undercity
60,Guild Guild 3,Orc,Warlock,Undercity
60,Guild Guild 8,Orc,Hunter,Thunder Bluff
60,Guild Guild 5,Orc,Warrior,Blackrock Spire
60,Guild Guild 7,Orc,Hunter,Blackrock Spire
5,Guild Guild -1,Tauren,Druid,Mulgore
10,Guild Guild 7,Tauren,Druid,Mulgore
14,Guild Guild 8,Tauren,Warrior,Orgrimmar
19,Guild Guild -1,Tauren,Hunter,Undercity
17,Guild Guild -1,Tauren,Druid,Moonglade
13,Guild Guild 19,Tauren,Shaman,The Barrens
27,Guild Guild 21,Tauren,Warrior,Alterac Mountains
25,Guild Guild 21,Tauren,Warrior,Silverpine Forest
31,Guild Guild 2,Tauren,Shaman,Thousand Needles
34,Guild Guild 2,Tauren,Hunter,Thousand Needles
34,Guild Guild 20,Tauren,Shaman,Maraudon
31,Guild Guild 18,Tauren,Shaman,Thunder Bluff
49,Guild Guild 12,Tauren,Hunter,Swamp of Sorrows
49,Guild Guild 12,Tauren,Druid,Tirisfal Glades
48,Guild Guild 15,Tauren,Warrior,Durotar
47,Guild Guild 15,Tauren,Shaman,Searing Gorge
46,Guild Guild -1,Tauren,Hunter,Stranglethorn Vale
42,Guild Guild 6,Tauren,Hunter,Mulgore
47,Guild Guild 5,Tauren,Shaman,Scarlet Monastery
46,Guild Guild 18,Tauren,Druid,Thunder Bluff
53,Guild Guild 2,Tauren,Druid,Ashenvale
52,Guild Guild 16,Tauren,Shaman,Stranglethorn Vale
53,Guild Guild 6,Tauren,Druid,Felwood
52,Guild Guild 19,Tauren,Warrior,Thunder Bluff
57,Guild Guild 8,Tauren,Shaman,Feralas
58,Guild Guild 5,Tauren,Druid,Thunder Bluff
58,Guild Guild 16,Tauren,Shaman,Thunder Bluff
60,Guild Guild 4,Tauren,Warrior,Durotar
60,Guild Guild 17,Tauren,Warrior,Durotar
60,Guild Guild 28,Tauren,Warrior,Eastern Plaguelands
60,Guild Guild 5,Tauren,Hunter,Durotar
60,Guild Guild 4,Tauren,Hunter,Blackrock Spire
60,Guild Guild 5,Tauren,Shaman,Undercity
60,Guild Guild 8,Tauren,Shaman,Mulgore
60,Guild Guild 4,Tauren,Shaman,Blackrock Spire
60,Guild Guild 20,Tauren,Shaman,Blackrock Spire
60,Guild Guild 6,Tauren,Druid,Durotar
60,Guild Guild 1,Tauren,Druid,Thunder Bluff
60,Guild Guild 5,Tauren,Druid,Blackrock Spire
11,Guild Guild -1,Troll,Rogue,Mulgore
22,Guild Guild 10,Troll,Priest,The Barrens
29,Guild Guild -1,Troll,Hunter,The Barrens
37,Guild Guild 25,Troll,Mage,Thousand Needles
35,Guild Guild 2,Troll,Mage,Orgrimmar
40,Guild Guild 16,Troll,Warrior,Orgrimmar
40,Guild Guild 8,Troll,Hunter,Durotar
37,Guild Guild 7,Troll,Hunter,Stranglethorn Vale
32,Guild Guild 8,Troll,Shaman,Thunder Bluff
40,Guild Guild 10,Troll,Hunter,Thunder Bluff
43,Guild Guild 5,Troll,Shaman,Western Plaguelands
46,Guild Guild 7,Troll,Rogue,Durotar
49,Guild Guild 32,Troll,Shaman,Durotar
60,Guild Guild 17,Troll,Rogue,Orgrimmar
60,Guild Guild 5,Troll,Rogue,Undercity
60,Guild Guild 3,Troll,Rogue,Stratholme
60,Guild Guild 29,Troll,Shaman,Durotar
60,Guild Guild 4,Troll,Mage,Blackrock Spire
60,Guild Guild 8,Troll,Rogue,Blackrock Spire
15,Guild Guild -1,Undead,Warlock,Undercity
19,Guild Guild 6,Undead,Mage,Shadowfang Keep
11,Guild Guild -1,Undead,Warrior,Tirisfal Glades
18,Guild Guild 16,Undead,Rogue,Thunder Bluff
26,Guild Guild -1,Undead,Priest,Durotar
29,Guild Guild 19,Undead,Mage,Durotar
33,Guild Guild 6,Undead,Priest,Desolace
34,Guild Guild 35,Undead,Priest,Maraudon
33,Guild Guild 21,Undead,Mage,The Barrens
45,Guild Guild 10,Undead,Warlock,Orgrimmar
46,Guild Guild 7,Undead,Priest,Orgrimmar
41,Guild Guild 22,Undead,Priest,Durotar
43,Guild Guild 22,Undead,Mage,Durotar
53,Guild Guild 0,Undead,Rogue,Durotar
54,Guild Guild 5,Undead,Priest,Mulgore
57,Guild Guild 5,Undead,Warlock,Orgrimmar
56,Guild Guild 5,Undead,Priest,Swamp of Sorrows
59,Guild Guild 14,Undead,Priest,Durotar
58,Guild Guild 7,Undead,Rogue,Eastern Plaguelands
59,Guild Guild 3,Undead,Priest,Thunder Bluff
59,Guild Guild 4,Undead,Warlock,Blackrock Spire
60,Guild Guild 5,Undead,Mage,Undercity
60,Guild Guild 6,Undead,Mage,Durotar
60,Guild Guild 20,Undead,Mage,Maraudon
60,Guild Guild 19,Undead,Mage,Mulgore
60,Guild Guild 5,Undead,Priest,Tirisfal Glades
